data	nip	ilosc	cena	suma					
2005-01-01	872-13-44-365	10	2	20				2005	2
2005-01-04	369-43-03-176	2	2	4				2006	2,05
2005-01-05	408-24-90-350	2	2	4				2007	2,09
2005-01-10	944-16-93-033	5	2	10				2008	2,15
2005-01-11	645-32-78-780	14	2	28				2009	2,13
2005-01-13	594-18-15-403	436	2	872				2010	2,1
2005-01-14	043-34-53-278	95	2	190				2011	2,2
2005-01-18	254-14-00-156	350	2	700				2012	2,25
2005-01-19	254-14-00-156	231	2	462				2013	2,22
2005-01-20	885-74-10-856	38	2	76				2014	2,23
2005-01-22	847-48-41-699	440	2	880					
2005-01-24	749-02-70-623	120	2	240					
2005-01-25	128-69-77-900	11	2	22					
2005-01-26	904-16-42-385	36	2	72					
2005-01-27	749-02-70-623	51	2	102				SUMA	643 267,07 z³
2005-02-02	254-14-00-156	465	2	930					
2005-02-03	775-48-66-885	8	2	16					
2005-02-05	799-94-72-837	287	2	574					
2005-02-05	045-63-27-114	12	2	24					
2005-02-10	351-06-97-406	6	2	12					
2005-02-14	413-93-89-926	321	2	642					
2005-02-18	269-65-16-447	99	2	198					
2005-02-18	080-51-85-809	91	2	182					
2005-02-24	799-94-72-837	118	2	236					
2005-02-25	910-38-33-489	58	2	116					
2005-02-26	396-32-41-555	16	2	32					
2005-02-26	178-24-36-171	348	2	696					
2005-02-27	594-18-15-403	336	2	672					
2005-02-27	178-24-36-171	435	2	870					
2005-02-27	033-49-11-774	110	2	220					
2005-03-01	337-27-67-378	204	2	408					
2005-03-01	269-65-16-447	20	2	40					
2005-03-03	410-52-79-946	102	2	204					
2005-03-05	294-48-56-993	48	2	96					
2005-03-07	178-24-36-171	329	2	658					
2005-03-09	961-86-77-989	16	2	32					
2005-03-10	378-70-08-798	102	2	204					
2005-03-10	799-94-72-837	309	2	618					
2005-03-12	594-18-15-403	331	2	662					
2005-03-17	665-06-94-730	3	2	6					
2005-03-18	534-94-49-182	76	2	152					
2005-03-18	935-78-99-209	196	2	392					
2005-03-20	269-65-16-447	54	2	108					
2005-03-24	847-48-41-699	277	2	554					
2005-03-26	996-09-76-697	7	2	14					
2005-03-28	019-98-81-222	12	2	24					
2005-03-29	962-06-61-806	7	2	14					
2005-03-31	254-14-00-156	416	2	832					
2005-04-03	254-14-00-156	263	2	526					
2005-04-06	369-43-03-176	15	2	30					
2005-04-10	410-52-79-946	194	2	388					
2005-04-11	968-49-97-804	120	2	240					
2005-04-12	254-14-00-156	175	2	350					
2005-04-14	205-96-13-336	12	2	24					
2005-04-15	916-94-78-836	174	2	348					
2005-04-16	242-04-13-206	3	2	6					
2005-04-17	761-06-34-233	149	2	298					
2005-04-18	413-93-89-926	492	2	984					
2005-04-18	377-37-44-068	2	2	4					
2005-04-19	799-94-72-837	298	2	596					
2005-04-30	413-93-89-926	201	2	402					
2005-05-01	176-54-34-364	15	2	30					
2005-05-01	799-94-72-837	319	2	638					
